rank,title,year,imdb_rating,genre,cast_name,storyline,combined_text
2716,The Emperor's New School,2006–2008,6.6,"Animation, Short, Adventure","J.P. Manoux, Patrick Warburton, Curtis Armstrong, Eartha Kitt",Five gay men try to improve the lives and confidence of straight men by giving them makeovers and advice.,"Title: The Emperor's New School Year: 2006–2008 Genre: Animation, Short, Adventure Cast: J.P. Manoux, Patrick Warburton, Curtis Armstrong, Eartha Kitt. Story: Five gay men try to improve the lives and confidence of straight men by giving them makeovers and advice."
2717,She Spies,2002–2004,6.1,"Action, Adventure, Comedy","Natasha Henstridge, Kristen Miller, Natashia Williams, Carlos Jacott",A satirical look at an 8 year old boy that aspires to be the most hardcore daredevil in existence.,"Title: She Spies Year: 2002–2004 Genre: Action, Adventure, Comedy Cast: Natasha Henstridge, Kristen Miller, Natashia Williams, Carlos Jacott. Story: A satirical look at an 8 year old boy that aspires to be the most hardcore daredevil in existence."
2718,Jann,2019– ,7.1,Comedy,"Deborah Grover, Jann Arden, Zoie Palmer, Elena Juatco",Black Ink Crew: Black Ink documents the tattoo artists at a Harlem tattoo shop and all of the celebrities they cater to.,"Title: Jann Year: 2019–  Genre: Comedy Cast: Deborah Grover, Jann Arden, Zoie Palmer, Elena Juatco. Story: Black Ink Crew: Black Ink documents the tattoo artists at a Harlem tattoo shop and all of the celebrities they cater to."
2719,Queer Eye for the Straight Guy,2003–2007,6.1,"Comedy, Reality-TV","Ted Allen, Carson Kressley, Kyan Douglas, Thom Filicia","Four Republican senators share the same D.C. house rental, and face re-election battles, looming indictments, and parties -- all with a sense of humor.","Title: Queer Eye for the Straight Guy Year: 2003–2007 Genre: Comedy, Reality-TV Cast: Ted Allen, Carson Kressley, Kyan Douglas, Thom Filicia. Story: Four Republican senators share the same D.C. house rental, and face re-election battles, looming indictments, and parties -- all with a sense of humor."
2720,Kick Buttowski: Suburban Daredevil,2010–2012,6.6,"Animation, Action, Adventure","Charlie Schlatter, Matt Jones, Danny Cooksey, Emily Osment","The series follows the adventures of married couple Nicola and Charlie Buchanan, who run an industrial cleaning business while solving the most baffling murder mysteries.","Title: Kick Buttowski: Suburban Daredevil Year: 2010–2012 Genre: Animation, Action, Adventure Cast: Charlie Schlatter, Matt Jones, Danny Cooksey, Emily Osment. Story: The series follows the adventures of married couple Nicola and Charlie Buchanan, who run an industrial cleaning business while solving the most baffling murder mysteries."
2721,Black Ink Crew,2012– ,4.6,Reality-TV,"Ashley Nicole Bermudez, Ceaser Emanuel, Dutchess Lattimore, Kevin Laroy",Lawyers at an elite Memphis law firm specialize in controversial landmark civil rights cases.,"Title: Black Ink Crew Year: 2012–  Genre: Reality-TV Cast: Ashley Nicole Bermudez, Ceaser Emanuel, Dutchess Lattimore, Kevin Laroy. Story: Lawyers at an elite Memphis law firm specialize in controversial landmark civil rights cases."
2722,Alpha House,2013–2014,7.6,"Comedy, Drama","John Goodman, Clark Johnson, Matt Malloy, Mark Consuelos",Three teenagers from the Pai Zhug Kung Fu Academy are chosen to fight the forces of an opposing academy and all other forces of evil.,"Title: Alpha House Year: 2013–2014 Genre: Comedy, Drama Cast: John Goodman, Clark Johnson, Matt Malloy, Mark Consuelos. Story: Three teenagers from the Pai Zhug Kung Fu Academy are chosen to fight the forces of an opposing academy and all other forces of evil."
2723,Mr & Mrs Murder,2013,7.4,"Comedy, Mystery","Shaun Micallef, Kat Stewart, Jonny Pasvolsky, Lucy Velik","A high school student discovers he is an Ajin, a demi-human being. He ends up a fugitive on the run because of his powers.","Title: Mr & Mrs Murder Year: 2013 Genre: Comedy, Mystery Cast: Shaun Micallef, Kat Stewart, Jonny Pasvolsky, Lucy Velik. Story: A high school student discovers he is an Ajin, a demi-human being. He ends up a fugitive on the run because of his powers."
2724,Bluff City Law,2019,6.8,Drama,"Jimmy Smits, Caitlin McGee, Barry Sloane, Michael Luwoye",For years this group of friends has spent their weekends from Memorial Day through Labor Day in one of the most exclusive beach areas on the East Coast. These professionals may keep it ...,"Title: Bluff City Law Year: 2019 Genre: Drama Cast: Jimmy Smits, Caitlin McGee, Barry Sloane, Michael Luwoye. Story: For years this group of friends has spent their weekends from Memorial Day through Labor Day in one of the most exclusive beach areas on the East Coast. These professionals may keep it ..."
2725,Power Rangers Jungle Fury,2008,6.6,"Action, Adventure, Drama","Jason Smith, Anna Hutchison, Aljin Abella, David de Lautour","The story of Fazilet, mother of two Hazan and Ece, eager to gain money, using her younger daughter, Ece,modeling skills. While Hazan pursues a sport coach life, far from her mother ambitions and falls in love with a rich spoiled man.","Title: Power Rangers Jungle Fury Year: 2008 Genre: Action, Adventure, Drama Cast: Jason Smith, Anna Hutchison, Aljin Abella, David de Lautour. Story: The story of Fazilet, mother of two Hazan and Ece, eager to gain money, using her younger daughter, Ece,modeling skills. While Hazan pursues a sport coach life, far from her mother ambitions and falls in love with a rich spoiled man."
2726,Ajin,2016– ,7.6,"Animation, Action, Adventure","Mamoru Miyano, Martin Billany, Johnny Yong Bosch, Lucien Dodge","When Frank Nordling learns the truth about his parents' death, his world unravels. As he finds out, they were murdered by one of the leaders in Copenhagen's criminal underworld, Thomas Waldman, who happens to be his firm's biggest client.","Title: Ajin Year: 2016–  Genre: Animation, Action, Adventure Cast: Mamoru Miyano, Martin Billany, Johnny Yong Bosch, Lucien Dodge. Story: When Frank Nordling learns the truth about his parents' death, his world unravels. As he finds out, they were murdered by one of the leaders in Copenhagen's criminal underworld, Thomas Waldman, who happens to be his firm's biggest client."
2727,Summer House,2017– ,5.7,Reality-TV,"Kyle Cooke, Lindsay Hubbard, Carl Radke, Amanda Batula","Follows the reunion of four old sixth form friends. They head to Spain to visit the fifth member of the gang, but things take a dark turn.","Title: Summer House Year: 2017–  Genre: Reality-TV Cast: Kyle Cooke, Lindsay Hubbard, Carl Radke, Amanda Batula. Story: Follows the reunion of four old sixth form friends. They head to Spain to visit the fifth member of the gang, but things take a dark turn."
2728,Fazilet Hanim ve Kizlari,2017–2018,6.8,Drama,"Nazan Kesal, Deniz Baysal, Caglar Ertugrul, Mahir Günsiray","Five kids and their science teacher have a variety of preternatural adventures at ""Black Hole High,"" a mysterious boarding school.","Title: Fazilet Hanim ve Kizlari Year: 2017–2018 Genre: Drama Cast: Nazan Kesal, Deniz Baysal, Caglar Ertugrul, Mahir Günsiray. Story: Five kids and their science teacher have a variety of preternatural adventures at ""Black Hole High,"" a mysterious boarding school."
2729,Advokaten,2018– ,7.0,"Crime, Drama, Mystery","Alexander Karim, Malin Buska, Thomas Bo Larsen, Nicolaj Kopernikus",This second revival of,"Title: Advokaten Year: 2018–  Genre: Crime, Drama, Mystery Cast: Alexander Karim, Malin Buska, Thomas Bo Larsen, Nicolaj Kopernikus. Story: This second revival of"
2730,Mad Dogs,2011–2013,7.6,"Comedy, Crime, Drama","Max Beesley, Philip Glenister, John Simm, Marc Warren","Pol Rubio starts to study Philosophy at the University of Barcelona while the relationship between Bruno and him begins to strengthen. Pol will meet new friends, new colleagues and new ...","Title: Mad Dogs Year: 2011–2013 Genre: Comedy, Crime, Drama Cast: Max Beesley, Philip Glenister, John Simm, Marc Warren. Story: Pol Rubio starts to study Philosophy at the University of Barcelona while the relationship between Bruno and him begins to strengthen. Pol will meet new friends, new colleagues and new ..."
2731,Strange Days at Blake Holsey High,2002–2006,7.9,"Adventure, Comedy, Family","Emma Taylor-Isherwood, Shadia Simmons, Michael Seater, Noah Reid",The Disappearance of,"Title: Strange Days at Blake Holsey High Year: 2002–2006 Genre: Adventure, Comedy, Family Cast: Emma Taylor-Isherwood, Shadia Simmons, Michael Seater, Noah Reid. Story: The Disappearance of"
2732,The Twilight Zone,2002–2003,7.2,"Drama, Fantasy, Horror","Forest Whitaker, June B. Wilde, Chris Shields, Tangi Miller",A young woman is forced to return to her trailer-park beginnings after her political career is derailed by a sex scandal.,"Title: The Twilight Zone Year: 2002–2003 Genre: Drama, Fantasy, Horror Cast: Forest Whitaker, June B. Wilde, Chris Shields, Tangi Miller. Story: A young woman is forced to return to her trailer-park beginnings after her political career is derailed by a sex scandal."
2733,Merlí. Sapere Aude,2019– ,7.7,Drama,"Carlos Cuevas, María Pujalte, Pablo Capuz, Boris Ruiz","Nafes was forced to marry vedat who abused & tortured her,one day nefes takes her son & escapes in a car truck of one of her husband's partners who is called tahir,Tahir will protect them ...","Title: Merlí. Sapere Aude Year: 2019–  Genre: Drama Cast: Carlos Cuevas, María Pujalte, Pablo Capuz, Boris Ruiz. Story: Nafes was forced to marry vedat who abused & tortured her,one day nefes takes her son & escapes in a car truck of one of her husband's partners who is called tahir,Tahir will protect them ..."
2734,The Disappearance of Madeleine McCann,2019,6.6,"Documentary, Crime, Mystery","Anthony Summers, Maria João Vaz, Gonçalo Amaral, Robbyn Swan",An unscripted crime/drama series centered on a team of three detectives - each with their own distinctive style of working.,"Title: The Disappearance of Madeleine McCann Year: 2019 Genre: Documentary, Crime, Mystery Cast: Anthony Summers, Maria João Vaz, Gonçalo Amaral, Robbyn Swan. Story: An unscripted crime/drama series centered on a team of three detectives - each with their own distinctive style of working."
2735,Too Close to Home,2016–2017,5.2,Drama,"Danielle Savre, Kelly Sullivan, Brooke Anne Smith, ""Brock OHurn""","After the murder of his uncle by a developing gang that has been taking over New York, a young grieving Peter Parker takes vengeance into his own hands by pursuing his uncle's killer as a masked vigilante.","Title: Too Close to Home Year: 2016–2017 Genre: Drama Cast: Danielle Savre, Kelly Sullivan, Brooke Anne Smith, ""Brock OHurn"". Story: After the murder of his uncle by a developing gang that has been taking over New York, a young grieving Peter Parker takes vengeance into his own hands by pursuing his uncle's killer as a masked vigilante."
2736,Sen Anlat Karadeniz,2018–2019,5.6,Drama,"Ulas Tuna Astepe, Irem Helvacioglu, Sinan Tuzcu, Öykü Gürman","A series based on a real person in Korean history, Suh, Jang-geum.","Title: Sen Anlat Karadeniz Year: 2018–2019 Genre: Drama Cast: Ulas Tuna Astepe, Irem Helvacioglu, Sinan Tuzcu, Öykü Gürman. Story: A series based on a real person in Korean history, Suh, Jang-geum."
2737,Suspects,2014–2016,7.1,"Crime, Drama, Mystery","Damien Molony, Clare-Hope Ashitey, Fay Ripley, Christian Brassington",The unsolved case of two girls who disappeared from the Pyrenee town of Monteperdido five years ago is reopened when one of them reappears.,"Title: Suspects Year: 2014–2016 Genre: Crime, Drama, Mystery Cast: Damien Molony, Clare-Hope Ashitey, Fay Ripley, Christian Brassington. Story: The unsolved case of two girls who disappeared from the Pyrenee town of Monteperdido five years ago is reopened when one of them reappears."
2738,The Web of Spider-Man,2017– ,7.0,"Action, Sci-Fi","Brandon Melo, Dustin Teuber, Ashlyn Prehl, Tina Bell","In Colombia in 1821, a Spanish plantation gets burned down, and only the planters' baby is spared. She gets sent to Spain, but concocts a plan to return home and become an abolitionist.","Title: The Web of Spider-Man Year: 2017–  Genre: Action, Sci-Fi Cast: Brandon Melo, Dustin Teuber, Ashlyn Prehl, Tina Bell. Story: In Colombia in 1821, a Spanish plantation gets burned down, and only the planters' baby is spared. She gets sent to Spain, but concocts a plan to return home and become an abolitionist."
2739,Dae Jang-geum,2003–2004,8.5,"Biography, Drama, History","Lee Yeong-ae, Hyeon-shik Lim, Jin-hee Ji, So-yi Kim","Kang Mi Rae recovers her self esteem after being bullied as she gets to know Do Kyung Suk after getting plastic surgery. Then she gets called the ""Gangnam plastic surgery monster.""","Title: Dae Jang-geum Year: 2003–2004 Genre: Biography, Drama, History Cast: Lee Yeong-ae, Hyeon-shik Lim, Jin-hee Ji, So-yi Kim. Story: Kang Mi Rae recovers her self esteem after being bullied as she gets to know Do Kyung Suk after getting plastic surgery. Then she gets called the ""Gangnam plastic surgery monster."""
2740,La caza. Monteperdido,2019–2021,7.1,"Crime, Drama, Mystery","Megan Montaner, Alain Hernández, Beatriz Carvajal, Francis Lorenzo",A revival of Nickelodeon's long-running sketch comedy series featuring many wacky characters hosted by kids and for kids.,"Title: La caza. Monteperdido Year: 2019–2021 Genre: Crime, Drama, Mystery Cast: Megan Montaner, Alain Hernández, Beatriz Carvajal, Francis Lorenzo. Story: A revival of Nickelodeon's long-running sketch comedy series featuring many wacky characters hosted by kids and for kids."
